"COUNTRY_ALPHA","year","wave","liberal","confidence_gov","freedom_gov","democratic","reason_neediness","system_rating","poverty_compare"
"MNE",1996,3,7.1125,2.29166666666667,1.25416666666667,NA,1.32083333333333,5.94583333333333,1.34583333333333
"MNE",2001,4,7.72924528301887,2.67924528301887,NA,NA,NA,2.88396226415094,NA
"MYS",2006,5,5.62447960033306,1.98168193172356,NA,6.99000832639467,NA,NA,NA
"MYS",2012,6,5.03076923076923,2.10230769230769,NA,7.17230769230769,NA,NA,NA
"MYS",2018,7,5.73952779893374,2.51485148514851,NA,6.05712109672506,NA,NA,NA
"NGA",1990,2,6.37262737262737,2.92907092907093,NA,NA,NA,NA,NA
"NGA",1995,3,6.69739478957916,2.70090180360721,1.20190380761523,NA,1.48947895791583,5.79759519038076,1.16082164328657
"NGA",2000,4,7.26261127596439,2.39663699307616,NA,NA,NA,NA,NA
"NGA",2012,6,6.69926094371802,2.78283115406481,NA,5.70949403069926,NA,NA,NA
"NGA",2018,7,7.27081649151172,2.67825383993533,NA,5.51495553759095,NA,NA,NA
"NIC",2020,7,4.48,2.93583333333333,NA,4.83333333333333,NA,NA,NA
"NLD",2006,5,5.66,2.86761904761905,NA,6.22095238095238,NA,NA,NA
"NLD",2012,6,4.89957939011567,2.59884332281809,NA,6.57360672975815,NA,NA,NA
"NOR",1996,3,5.36468500443656,2.27861579414374,1.24844720496894,NA,1.37888198757764,5.22005323868678,1.89795918367347
"NOR",2007,5,5.84585365853659,2.43707317073171,NA,8.00390243902439,NA,NA,NA
"NZL",1998,3,4.6977518734388,2.86427976686095,1.07077435470441,NA,0.687760199833472,5.03996669442132,1.01165695253955
"NZL",2004,5,4.44758909853249,2.32075471698113,NA,NA,NA,NA,NA
"NZL",2011,6,4.38168846611177,2.13436385255648,NA,7.00951248513674,NA,NA,NA
"NZL",2020,7,4.48155156102176,2.0794701986755,NA,6.9120151371807,NA,NA,NA
"PAK",1997,3,NA,NA,NA,NA,0.800818553888131,NA,0.697135061391542
"PAK",2001,4,5.6975,2.188,NA,NA,NA,NA,NA
"PAK",2012,6,5.2575,2.67916666666667,NA,6.51916666666667,NA,NA,NA
"PAK",2018,7,5.68822055137845,2.22606516290727,NA,6.49573934837093,NA,NA,NA
"PER",1996,3,5.06110652353427,2.41370767960363,1.39388934764657,NA,1.37819983484723,4.4260941370768,1.40792733278282
"PER",2001,4,5.18854097268488,2.89207195203198,NA,NA,NA,NA,NA
"PER",2006,5,4.836,3.088,NA,5.224,NA,NA,NA
"PER",2012,6,5.5198347107438,3.0297520661157,NA,5.69752066115703,NA,NA,NA
"PER",2018,7,5.6,3.38357142857143,NA,5.30428571428571,NA,NA,NA
"PHL",1996,3,5.87583333333333,2.26333333333333,1.515,NA,1.31166666666667,4.945,1.56333333333333
"PHL",2001,4,5.385,2.26916666666667,NA,NA,NA,5.26166666666667,NA
"PHL",2012,6,4.935,2.37416666666667,NA,7.27916666666667,NA,NA,NA
"PHL",2019,7,5.07666666666667,1.88333333333333,NA,6.92333333333333,NA,NA,NA
"POL",1989,2,5.10980810234542,NA,NA,NA,NA,NA,NA
"POL",1997,3,5.53425845620121,2.43712055507372,0.920208152645273,NA,1.09019947961839,3.59323503902862,1.15091066782307
"POL",2005,5,5.809,2.764,NA,5.157,NA,NA,NA
"POL",2012,6,6.2639751552795,2.92132505175983,NA,5.52795031055901,NA,NA,NA
"PRI",1995,3,4.91323024054983,2.3926116838488,1.41580756013746,NA,1.13144329896907,5.65292096219931,2.35223367697595
"PRI",2001,4,4.06388888888889,2.425,NA,NA,NA,NA,NA
"PRI",2018,7,4.72315882874889,3.24046140195209,NA,5.35581188997338,NA,NA,NA
"PRT",2020,7,4.01399176954733,2.75720164609054,NA,6.20082304526749,NA,NA,NA
"PSE",2013,6,7.251,2.408,NA,4.273,NA,NA,NA
"QAT",2010,6,5.22924528301887,1.63301886792453,NA,NA,NA,NA,NA
"ROU",1998,3,5.9636803874092,2.74899112187248,1.1727199354318,NA,1.35108958837772,2.72639225181598,1.10250201775626
"ROU",2005,5,5.86824324324324,2.80743243243243,NA,5.08783783783784,NA,NA,NA
"ROU",2012,6,5.64670658682635,3.02395209580838,NA,4.69527611443779,NA,NA,NA
"ROU",2018,7,5.08114558472554,2.94510739856802,NA,5.22195704057279,NA,NA,NA
"RUS",1990,2,4.74349821519633,NA,NA,NA,NA,NA,NA
"RUS",1995,3,7.01078431372549,2.89607843137255,1.3921568627451,NA,1.53823529411765,5.57990196078431,1.00294117647059
"RUS",2006,5,7.33448106246926,2.4756517461879,NA,3.79439252336449,NA,NA,NA
"RUS",2011,6,7.5728,2.3884,NA,3.9336,NA,NA,NA
"RUS",2017,7,6.52541436464088,2.35138121546961,NA,5.24088397790055,NA,NA,NA
"RWA",2007,5,5.11280690112807,NA,NA,NA,NA,NA,NA
"RWA",2012,6,7.54289456450557,2.2180746561886,NA,7.18991486574984,NA,NA,NA
"SAU",2003,4,5.01398135818908,NA,NA,NA,NA,NA,NA
"SGP",2002,4,6.22420634920635,NA,NA,NA,NA,NA,NA
"SGP",2012,6,5.6501014198783,1.99898580121704,NA,6.86105476673428,NA,NA,NA
"SGP",2020,7,5.98856858846919,1.95427435387674,NA,6.54970178926441,NA,NA,NA
"SLV",1999,3,4.61164274322169,2.68819776714514,NA,NA,1.74322169059011,4.59090909090909,NA
"SRB",1996,3,7.26796875,2.52890625,1.20390625,NA,1.50390625,5.528125,1.134375
"SRB",2001,4,6.82,2.505,NA,NA,NA,2.735,NA
"SRB",2006,5,5.94672131147541,2.84590163934426,NA,4.92786885245902,NA,NA,NA
"SRB",2017,7,6.5678776290631,2.76481835564054,NA,4.92160611854684,NA,NA,NA
"SVK",1990,2,6.17596566523605,2.69098712446352,NA,NA,NA,NA,NA
"SVK",1998,3,7.3324200913242,2.54885844748858,1.14977168949772,NA,1.37899543378995,5.04748858447489,1.1689497716895
"SVN",1995,3,6.59781529294935,2.56206554121152,1.28699106256207,NA,1.23932472691162,4.49553128103277,1.35948361469712
"SVN",2005,5,6.24686595949855,2.75120540019286,NA,5.24493731918997,NA,NA,NA
"SVN",2011,6,6.69597754911132,3.18802619270346,NA,4.46679139382601,NA,NA,NA
"SWE",1982,1,NA,NA,NA,NA,NA,NA,NA
"SWE",1996,3,3.73141724479683,2.57185332011893,1.29236868186323,NA,1.16749256689792,5.20515361744301,1.06442021803766
"SWE",1999,4,6.6935960591133,NA,NA,NA,NA,4.73497536945813,NA
"SWE",2006,5,4.49351944167497,2.61016949152542,NA,7.37686939182453,NA,NA,NA
"SWE",2011,6,5.25704809286899,2.29021558872305,NA,7.48341625207297,NA,NA,NA
"THA",2007,5,5.0606258148631,2.62972620599739,NA,7.02151238591917,NA,NA,NA
"THA",2013,6,6.1425,2.28833333333333,NA,6.71916666666667,NA,NA,NA
"THA",2018,7,5.63066666666667,1.98533333333333,NA,5.78066666666667,NA,NA,NA
"TJK",2020,7,5.64083333333333,1.52416666666667,NA,7.97916666666667,NA,NA,NA
"TTO",2006,5,5.73053892215569,2.80139720558882,NA,5.97804391217565,NA,NA,NA
"TTO",2010,6,4.80680680680681,2.51651651651652,NA,5.98498498498498,NA,NA,NA
"TUN",2013,6,7.56016597510373,2.90124481327801,NA,3.50207468879668,NA,NA,NA
"TUN",2019,7,7.46771523178808,3.28145695364238,NA,4.66887417218543,NA,NA,NA
"TUR",1990,2,6.01359223300971,2.13980582524272,NA,NA,NA,NA,NA
"TUR",1996,3,5.68432092291557,2.60251704247509,1.13162034609334,NA,1.65705296276875,5.07865757734662,1.31043523859465
"TUR",2001,4,6.64157600705675,2.65568950308733,NA,NA,NA,NA,NA
"TUR",2007,5,6.0408618127786,2.15676077265973,NA,5.58841010401189,NA,NA,NA
"TUR",2011,6,6.30218068535826,2.25545171339564,NA,6.16448598130841,NA,NA,NA
"TUR",2018,7,5.94616977225673,2.07950310559006,NA,6.05175983436853,NA,NA,NA
"TWN",1998,3,5.4,2.13846153846154,1.03589743589744,NA,1.13589743589744,5.3974358974359,2.4448717948718
"TWN",2006,5,5.86878565607172,2.81173594132029,NA,6.85900570497147,NA,NA,NA
"TWN",2012,6,5.40630048465267,2.40791599353796,NA,6.46526655896607,NA,NA,NA
"TWN",2019,7,5.5102207686018,2.47996729354047,NA,7.38511856091578,NA,NA,NA
"TZA",2001,4,7.22971818958155,1.48505550811272,NA,NA,NA,6.05807002561913,NA
"UGA",2001,4,6.44111776447106,1.77744510978044,NA,NA,NA,4.75948103792415,NA
"UKR",1996,3,7.18427605834223,2.43507648523657,1.25542511561722,NA,1.54713625044468,4.38456065457133,1.039843472074
"UKR",2006,5,6.767,2.013,NA,3.894,NA,NA,NA
"UKR",2011,6,7.97933333333333,3.074,NA,4.51066666666667,NA,NA,NA
"UKR",2020,7,6.27230411171451,2.8844065166796,NA,4.6633048875097,NA,NA,NA
"URY",1996,3,6.831,2.763,1.497,NA,1.561,4.363,1.14
"URY",2006,5,5.735,2.299,NA,7.454,NA,NA,NA
"URY",2011,6,5.642,2.254,NA,7.353,NA,NA,NA
"USA",1982,1,NA,NA,NA,NA,NA,NA,NA
"USA",1990,2,3.30777596519848,NA,NA,NA,NA,NA,NA
"USA",1995,3,3.72373540856031,2.66666666666667,1.3916990920882,NA,0.864461738002594,5.36446173800259,1.30350194552529
"USA",1999,4,4.3075,2.635,NA,NA,NA,5.5825,NA
"USA",2006,5,4.73899119295436,2.46677341873499,NA,5.94155324259408,NA,NA,NA
"USA",2011,6,4.43010752688172,2.68593189964158,NA,6.10618279569892,NA,NA,NA
"USA",2017,7,5.37557781201849,2.89175654853621,NA,5.88251155624037,NA,NA,NA
"UZB",2011,6,6.18733333333333,1.20666666666667,NA,NA,NA,NA,NA
"VEN",1996,3,5.22833333333333,3.02,1.355,NA,1.20416666666667,5.02916666666667,1.085
"VEN",2000,4,5.43583333333333,2.39833333333333,NA,NA,NA,4.2925,NA
"VNM",2001,4,4.073,1.236,NA,NA,NA,7.179,NA
"VNM",2006,5,4.96053511705686,1.15919732441472,NA,7.39397993311037,NA,NA,NA
"VNM",2020,7,5.19666666666667,1.65333333333333,NA,7.8075,NA,NA,NA
"YEM",2014,6,7.8,2.626,NA,4.33,NA,NA,NA
"ZAF",1982,1,NA,NA,NA,NA,NA,NA,NA
"ZAF",1990,2,4.46052631578947,NA,NA,NA,NA,NA,NA
"ZAF",1996,3,6.17274275979557,1.99182282793867,1.21839863713799,NA,1.26882453151618,3.28926746166951,1.50800681431005
"ZAF",2001,4,6.12866666666667,2.366,NA,NA,NA,3.889,NA
"ZAF",2006,5,5.90729585006693,2.12048192771084,NA,7.1074297188755,NA,NA,NA
"ZAF",2013,6,5.15151515151515,2.44718210138771,NA,6.56414613423959,NA,NA,NA
"ZMB",2007,5,6.29933333333333,2.45466666666667,NA,6.446,NA,NA,NA
"ZWE",2001,4,7.00499001996008,2.20658682634731,NA,NA,NA,5.35528942115768,NA
"ZWE",2012,6,7.12933333333333,2.53333333333333,NA,5.36933333333333,NA,NA,NA
"ZWE",2020,7,7.24362139917695,2.50617283950617,NA,3.8880658436214,NA,NA,NA
