"iso3","year","cow_code","country_name","variable","regime"
"QAT",1881,694,"Qatar","v2x_regime_amb_interpol",0
"ROU",1881,360,"Romania","v2x_regime_amb_interpol",0
"RUS",1881,365,"Russia","v2x_regime_amb_interpol",0
"RWA",1881,517,"Rwanda","v2x_regime_amb_interpol",0
"SAU",1881,670,"Saudi Arabia","v2x_regime_amb_interpol",0
"SDN",1881,625,"Sudan","v2x_regime_amb_interpol",0
"SEN",1881,433,"Senegal","v2x_regime_amb_interpol",0
"SGP",1881,830,"Singapore","v2x_regime_amb_interpol",0
"SLB",1881,940,"Solomon Islands","v2x_regime_amb_interpol",0
"SLE",1881,451,"Sierra Leone","v2x_regime_amb_interpol",0
"SLV",1881,92,"El Salvador","v2x_regime_amb_interpol",0
"SOM",1881,520,"Somalia","v2x_regime_amb_interpol",0
"SRB",1881,NA,"Serbia","v2x_regime_amb_interpol",0
"SSD",1881,626,"South Sudan","v2x_regime_amb_interpol",0
"SUR",1881,115,"Suriname","v2x_regime_amb_interpol",0
"SVK",1881,317,"Slovakia","v2x_regime_amb_interpol",0
"SVN",1881,349,"Slovenia","v2x_regime_amb_interpol",0
"SWE",1881,380,"Sweden","v2x_regime_amb_interpol",0
"SWZ",1881,572,"Swaziland","v2x_regime_amb_interpol",0
"SYR",1881,652,"Syria","v2x_regime_amb_interpol",0
"TCD",1881,483,"Chad","v2x_regime_amb_interpol",0
"TGO",1881,461,"Togo","v2x_regime_amb_interpol",0
"THA",1881,800,"Thailand","v2x_regime_amb_interpol",0
"TJK",1881,702,"Tajikistan","v2x_regime_amb_interpol",0
"TKM",1881,701,"Turkmenistan","v2x_regime_amb_interpol",0
"TLS",1881,860,"Timor-Leste","v2x_regime_amb_interpol",0
"TTO",1881,52,"Trinidad and Tobago","v2x_regime_amb_interpol",0
"TUN",1881,616,"Tunisia","v2x_regime_amb_interpol",0
"TUR",1881,640,"Turkey","v2x_regime_amb_interpol",0
"TZA",1881,510,"Tanzania","v2x_regime_amb_interpol",0
"UGA",1881,500,"Uganda","v2x_regime_amb_interpol",0
"UKR",1881,369,"Ukraine","v2x_regime_amb_interpol",0
"URY",1881,165,"Uruguay","v2x_regime_amb_interpol",0
"USA",1881,2,"United States of America","v2x_regime_amb_interpol",3
"UZB",1881,704,"Uzbekistan","v2x_regime_amb_interpol",0
"VEN",1881,101,"Venezuela","v2x_regime_amb_interpol",0
"VNM",1881,816,"Vietnam","v2x_regime_amb_interpol",0
"YEM",1881,679,"Yemen","v2x_regime_amb_interpol",0
"ZAF",1881,560,"South Africa","v2x_regime_amb_interpol",0
"ZMB",1881,551,"Zambia","v2x_regime_amb_interpol",0
"ZWE",1881,552,"Zimbabwe","v2x_regime_amb_interpol",0
"AFG",1882,700,"Afghanistan","v2x_regime_amb_interpol",0
