"SOURCE","Source","BRANCH","Branch","TYPEXP","Type of Expenditure","TYPROG","Type of Programme","UNIT","Measure","COUNTRY","Country","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","FIN","Finland","1990","1990","USD","US Dollar","0","Units",,,4234.39,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","FIN","Finland","1991","1991","USD","US Dollar","0","Units",,,4956.141,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","FIN","Finland","1992","1992","USD","US Dollar","0","Units",,,5554.059,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","FIN","Finland","1993","1993","USD","US Dollar","0","Units",,,5633.299,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","FIN","Finland","1994","1994","USD","US Dollar","0","Units",,,5825.307,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","FIN","Finland","1995","1995","USD","US Dollar","0","Units",,,5652.205,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","FIN","Finland","1996","1996","USD","US Dollar","0","Units",,,5762.894,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","FIN","Finland","1997","1997","USD","US Dollar","0","Units",,,5795.69,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","FIN","Finland","1998","1998","USD","US Dollar","0","Units",,,5773.602,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","FIN","Finland","1999","1999","USD","US Dollar","0","Units",,,5905.426,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","FIN","Finland","2000","2000","USD","US Dollar","0","Units",,,6048.795,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","FIN","Finland","2001","2001","USD","US Dollar","0","Units",,,6236.665,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","FIN","Finland","2002","2002","USD","US Dollar","0","Units",,,6616.252,,
