iso3c,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MLT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MMR,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3373272754493706,NA,NA,NA,NA,NA,NA,NA,13.782911741767998,NA,NA
MNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5903252837155,55.45136893293971,56.50347165565439,56.4444752914649,NA,NA,NA,NA,NA
MNG,NA,NA,NA,NA,NA,NA,NA,93.46709104180371,NA,92.85860920191371,97.0782855039186,99.78700602184611,99.89907533698238,NA,93.69127464000002,NA,93.89875012999998,NA,NA,NA
MNP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOZ,NA,NA,NA,NA,NA,NA,NA,NA,6.75998172615142,NA,NA,NA,NA,NA,6.312861502,NA,NA,NA,NA,NA
MRT,NA,NA,NA,NA,NA,NA,NA,NA,39.3983868762527,NA,NA,NA,NA,NA,45.215550331051915,NA,NA,NA,NA,NA
MUS,NA,NA,NA,NA,NA,NA,40.86760527194199,NA,NA,NA,NA,NA,46.626463175074,NA,NA,NA,NA,51.520133340000015,NA,NA
MWI,NA,NA,NA,NA,51.286395762248496,NA,NA,NA,NA,NA,20.373682697759296,NA,NA,42.455963567996484,NA,NA,41.523122784440005,NA,NA,NA
MYS,NA,NA,NA,NA,NA,NA,NA,NA,84.0928556349553,NA,NA,NA,80.2841987363708,NA,89.4608743904472,NA,76.7262118975271,NA,NA,NA
NAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NAM,NA,NA,NA,9.840997257368892,NA,NA,NA,NA,NA,16.145014706225197,NA,NA,NA,NA,NA,43.73316161,NA,NA,NA,NA
NCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.14231008112666,NA,NA,21.380654872161593,NA,NA,NA,NA,NA
NGA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4243613035352998,NA,4.589191956078289,NA,NA,6.41370666952272,NA,NA,20.481825999999998,NA
NIC,NA,NA,NA,NA,NA,61.509958792145106,NA,NA,NA,45.635507444420604,NA,NA,NA,NA,68.15149332522459,NA,NA,NA,NA,NA
NLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.4853833010242,NA,NA,NA,NA,NA,NA,NA,NA,NA
NRU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NZL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OMN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAK,NA,NA,NA,NA,NA,NA,NA,9.29362957266032,NA,18.767629466843697,NA,NA,NA,16.799388705164898,NA,16.063869756683403,NA,NA,21.86358855,NA
PAN,NA,NA,NA,NA,NA,NA,NA,NA,67.05257681256316,64.04045949038131,64.01551547898761,60.503495717304,63.4537232885563,64.52072029286178,63.386581090983995,73.67881480999998,74.67044600999998,72.83497222999999,75.91105193000001,NA
PER,NA,NA,NA,NA,NA,NA,NA,NA,52.40147346048219,64.1126200708007,68.3633490604789,66.12011771664447,89.5209964043684,63.02389489560049,64.8544440009027,65.59796103516871,64.9473273561263,65.86202902564331,NA,NA
PHL,NA,NA,NA,NA,NA,NA,7.472534029135309,NA,NA,NA,NA,NA,NA,36.744226441616284,NA,40.6200716066546,NA,NA,NA,NA
PLW,NA,NA,NA,NA,NA,NA,37.4302542026407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNG,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2436593432572804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
